college,college_name,zip,county,mean_students_per_cohort,ec_own_ses_college,ec_own_ses_se_college,ec_parent_ses_college,ec_parent_ses_se_college,ec_high_own_ses_college,ec_high_own_ses_se_college,ec_high_parent_ses_college,ec_high_parent_ses_se_college,exposure_own_ses_college,exposure_parent_ses_college,bias_own_ses_college,bias_parent_ses_college,bias_high_own_ses_college,bias_high_parent_ses_college,clustering_college,support_ratio_college,volunteering_rate_college,ec_parent_ses_college_quartile,bias_own_ses_college_quartile,change_ses
232900,Wayne State University,48202,26163,1782.333333333333,0.84131998,0.01891,0.93300998,0.02829,1.46848,0.01558,1.28772,0.026079999,1.15518,1.06785,0.27169999,0.12627,-0.27122,-0.20589,0.17547999,0.93616003,0.069289997,2,4,0.90471998
233000,Western Michigan University,49008,26077,3988.666666666667,1.56103,0.01644,1.24316,0.01904,1.75499,0.00976,1.36849,0.016279999,1.59706,1.27442,0.02256,0.024529999,-0.09888,-0.073810004,0.18554001,0.98241001,0.070859998,3,3,1.22412
233200,Anoka-Ramsey Community College,55433,27003,26989.66666666667,1.61528,0.032249998,1.16765,0.037950002,1.7313499,0.022430001,1.19279,0.0341,1.64869,1.165,0.020269999,-0.00228,-0.050140001,-0.02385,0.23001,0.94401997,0.060619999,3,3,1.129699998
233400,Augsburg University,55454,27053,321,1.64125,0.032269999,1.21741,0.045929998,1.73909,0.024089999,1.3249201,0.04061,1.64598,1.2259099,0.00287,0.00693,-0.056570001,-0.080770001,0.33798999,0.99615997,0.088210002,3,3,1.171480002
233500,Riverland Community College,55912,27099,26989.66666666667,1.30452,0.040920001,0.88404,0.047630001,1.48762,0.031029999,0.93422002,0.04789,1.2893699,0.87739998,-0.01175,-0.00758,-0.15376,-0.06476,0.28444999,0.98547,0.056949999,2,2,0.836409999
233600,Bemidji State University,56601,27007,26989.66666666667,1.5638601,0.02647,1.0792201,0.03198,1.72735,0.01716,1.12283,0.030470001,1.59618,1.08567,0.02025,0.00594,-0.082180001,-0.034219999,0.24107,0.99353999,0.063670002,2,3,1.0472401
233700,Bethany Lutheran College,56001,27013,117,1.6274101,0.049339999,1.20825,0.061670002,1.7405601,0.03418,1.23791,0.058619998,1.64709,1.21321,0.01194,0.00409,-0.05675,-0.02036,0.46619001,0.99992001,0.043960001,3,3,1.146579998
233900,Central Lakes College-Brainerd,56401,27035,26989.66666666667,1.30686,0.033220001,0.79856002,0.03723,1.47059,0.027009999,0.8387,0.039799999,1.31338,0.80936003,0.00496,0.01334,-0.1197,-0.036260001,0.27610999,0.98365003,0.063649997,1,3,0.76133002
234000,Carleton College,55057,27131,456.6666666666667,1.7849,0.02485,1.5069799,0.041030001,1.85833,0.01442,1.56608,0.034759998,1.7890199,1.55417,0.0023,0.030370001,-0.038740002,-0.00766,0.32278001,1,0.17185999,4,3,1.465949899
234100,College of Saint Benedict,56374,27145,446.6666666666667,1.7587399,0.019090001,1.3691,0.027349999,1.85735,0.01131,1.42913,0.024019999,1.77187,1.38824,0.00741,0.01379,-0.048239999,-0.029449999,0.26203001,0.99844998,0.067620002,4,3,1.341750001
234200,St Catherine University,55105,27123,314.6666666666667,1.67538,0.036479998,1.2277499,0.051600002,1.79931,0.023809999,1.29557,0.045669999,1.69133,1.2548701,0.00943,0.021609999,-0.063850001,-0.032430001,0.25376999,0.97621,0.09217,3,3,1.176149898
234300,The College of Saint Scholastica,55811,27137,336,1.70724,0.029999999,1.20136,0.037930001,1.8007801,0.019640001,1.23005,0.036619999,1.70337,1.18957,-0.00227,-0.00991,-0.057190001,-0.034030002,0.29354,0.99598002,0.066600002,3,3,1.163429999
234500,University of St Thomas,55105,27123,1012,1.77512,0.017820001,1.47063,0.02479,1.86163,0.01099,1.5197999,0.022059999,1.79126,1.47141,0.00901,0.00053,-0.03929,-0.032889999,0.21529999,0.99676001,0.05305,4,3,1.44584
234600,Concordia College at Moorhead,56562,27027,623.6666666666666,,,1.40297,0.062059999,,,1.40618,0.058710001,,1.38832,,-0.01055,,-0.01287,0.26008999,0.99273002,0.084810004,4,,1.340910001
234700,Concordia University-Saint Paul,55104,27123,186.3333333333333,1.65573,0.04518,1.18931,0.060109999,1.77133,0.029209999,1.26897,0.05548,1.67408,1.20622,0.01096,0.01402,-0.058090001,-0.052019998,0.41563001,0.99365002,0.082829997,3,3,1.129200001
235000,Vermilion Community College,55731,27137,26989.66666666667,1.39223,0.053119998,0.93089002,0.067749999,1.4743,0.048250001,0.95475,0.0682,1.3503,0.97608,-0.03105,0.046300001,-0.09183,0.021849999,0.40164,0.99650002,0.063819997,2,1,0.863140021
235300,Gustavus Adolphus College,56082,27103,605.6666666666666,1.7732199,0.0211,1.41917,0.030099999,1.85559,0.01325,1.45582,0.02764,1.77136,1.40817,-0.00105,-0.00781,-0.04755,-0.033829998,0.30320999,1,0.08845,4,3,1.389070001
235400,Hamline University,55104,27123,389.6666666666667,1.71088,0.0298,1.29837,0.042459998,1.78211,0.022430001,1.31348,0.039250001,1.69257,1.27323,-0.01082,-0.019750001,-0.052900001,-0.03162,0.32245001,0.99853998,0.10818,3,2,1.255910002
235500,Hibbing Community College,55746,27137,26989.66666666667,1.30133,0.04538,0.84559,0.053769998,1.46053,0.038229998,0.87074,0.058929998,1.26433,0.82683998,-0.029270001,-0.022679999,-0.15519001,-0.053100001,0.31795999,0.99191999,0.045249999,1,1,0.791820002
235600,Itasca Community College,55744,27061,26989.66666666667,1.29774,0.043340001,0.79411,0.051150002,1.52247,0.033769999,0.81279999,0.051460002,1.31066,0.79873002,0.00986,0.00579,-0.16161001,-0.01761,0.32117,0.99742001,0.069430001,1,3,0.742959998
235800,Macalester College,55105,27123,367.6666666666667,1.76448,0.02318,1.49844,0.038430002,1.83819,0.01646,1.5453399,0.034850001,1.75041,1.50845,-0.00804,0.00663,-0.05015,-0.024460001,0.30856001,0.99939001,0.18382999,4,2,1.460009998
236000,Minnesota State University-Mankato,56001,27013,26989.66666666667,1.70792,0.01682,1.22171,0.02053,1.8046499,0.01019,1.27249,0.01915,1.71611,1.23125,0.00477,0.00775,-0.051589999,-0.033489998,0.18436,0.98575997,0.0561,3,3,1.20118
236100,Martin Luther College,56073,27015,,1.65666,0.035829999,1.16731,0.04685,1.73487,0.0273,1.15475,0.046020001,1.64818,1.1363,-0.00515,-0.02729,-0.052590001,-0.01623,0.47169,1,0.02186,3,2,1.12046
236200,Minneapolis Community and Technical College,55403,27053,26989.66666666667,0.88005,0.036839999,0.70655,0.050179999,1.24582,0.034329999,0.93075001,0.058589999,1.10401,0.82787001,0.20286,0.14655,-0.12845001,-0.12427,0.17241,0.89596999,0.074349999,1,4,0.656370001
236500,Minneapolis College of Art and Design,55404,27053,125.3333333333333,1.53362,0.065729998,1.43566,0.077270001,1.64466,0.04761,1.39979,0.071269996,1.58618,1.36409,0.033130001,-0.05246,-0.036869999,-0.02617,0.43195,0.99691999,0.093979999,4,4,1.358389999
236700,Minnesota State University Moorhead,56563,27027,26989.66666666667,1.71337,0.025040001,1.21918,0.0305,1.80277,0.0153,1.24851,0.028039999,1.7014101,1.17866,-0.00703,-0.034370001,-0.059579998,-0.059250001,0.20471001,0.98480999,0.069820002,3,2,1.18868
236900,North Central University,55404,27053,252,1.78353,0.03269,1.43279,0.036359999,1.8358999,0.020099999,1.44543,0.034290001,1.7437299,1.40782,-0.02282,-0.01774,-0.052859999,-0.02672,0.39192,0.99967998,0.070100002,4,1,1.396430001
237000,North Hennepin Community College,55445,27053,26989.66666666667,1.30755,0.049490001,1.08207,0.05895,1.61691,0.033829998,1.12976,0.0568,1.49781,1.06524,0.12702,-0.015799999,-0.079520002,-0.060570002,0.21187,0.90603,0.059590001,2,4,1.02312
